,Community Level Hazard Index PAC1,Community Level Hazard Index PAC2,Community Level Hazard Index PAC3
Total Vinyl Chloride,2.6096557960866886e-37,5.387676482243485e-38,1.391816424579567e-38
Total HCl 100%,5.2344614329752013e-23,4.282741172434256e-24,9.422030579355362e-25
Total HCl 52%,2.7219233239431135e-23,2.2270281741352753e-24,4.899461983097605e-25
Total HCl 20%,1.046888608067126e-23,8.56545224782194e-25,1.8843994945208268e-25
Total Phosgene 7,4.167917258408677e-18,3.8205908202079535e-19,1.5282363280831813e-19
Total Phosgene 0.7,4.167948253208751e-19,3.820619232108022e-20,1.5282476928432087e-20
Total Phosgene 0.07,4.168025740208937e-20,3.820690261858193e-21,1.5282761047432768e-21
ethyl_acryl_100,0.08226128430086811,0.010400852038040795,0.008226128430086811
ethyl_acryl_80,0.06580723603641964,0.008320455131041564,0.006580723603641965
ethyl_acryl_50,0.041130642150434035,0.005200426019020396,0.004113064215043404
ethyl_acryl_20,0.016454048264448445,0.0020803969069992283,0.0016454048264448445
butyl_acryl,0.21547903166989246,0.013625879943831434,0.0037062393447221493
PM2.5,2.0016005779064064e-16,2.0016005779064064e-16,2.0016005779064064e-16
PM10,1.1022654863352462e-16,8.818123890681969e-17,8.818123890681969e-17
Total Dioxin 20%,9.686555013711081e-26,8.994658227017434e-27,1.4814731197440476e-27
Total Dioxin 50%,2.4037006885878713e-25,2.2320077822601655e-26,3.6762481119579205e-27
Total Dioxin 80%,3.8746220054848196e-25,3.597863290807333e-26,5.925892478976784e-27
Total Dioxin 100%,4.843277506856057e-25,4.497329113509196e-26,7.407365598721027e-27
